iter	Logloss
0	0.5304236053
1	0.4570673939
2	0.4226455962
3	0.4016359254
4	0.3872403107
5	0.3772389743
6	0.3692310156
7	0.3648769009
8	0.3604438262
9	0.3583800887
10	0.3555263123
11	0.3532861005
12	0.3518994854
13	0.3506400884
14	0.3489098293
15	0.3475282389
16	0.3464724086
17	0.3458846581
18	0.3451634547
19	0.3448066506
20	0.3443837388
21	0.3438176323
22	0.3435033436
23	0.3429711728
24	0.3426133501
25	0.3420928012
26	0.3419460857
27	0.341520036
28	0.3411855527
29	0.3410370393
30	0.3405923536
31	0.3402074452
32	0.3397792215
33	0.3393394648
34	0.3392697543
35	0.3388363076
36	0.3387285458
37	0.3385963508
38	0.3382045513
39	0.338139264
40	0.3380154025
41	0.3378348197
42	0.3377894877
43	0.3375561964
44	0.3372625809
45	0.3369167902
46	0.3368205751
47	0.3367122937
48	0.3366193942
49	0.3364046705
