iter	Passed	Remaining
0	54	2672
1	90	2181
2	118	1861
3	134	1541
4	144	1298
5	157	1156
6	181	1113
7	185	975
8	190	869
9	198	793
10	201	713
11	213	675
12	219	625
13	223	573
14	226	527
15	228	486
16	236	459
17	239	426
18	243	396
19	246	369
20	258	356
21	262	334
22	265	311
23	270	293
24	280	280
25	284	262
26	288	245
27	292	229
28	296	214
29	310	207
30	316	194
31	325	183
32	339	175
33	346	162
34	349	149
35	353	137
36	357	125
37	361	114
38	366	103
39	371	92
40	374	82
41	378	72
42	381	62
43	385	52
44	388	43
45	392	34
46	395	25
47	399	16
48	402	8
49	405	0
